id,title,category,tags,venue,startDate,endDate,match_status,match_score,place_name,place_type,address_full,district,lat,lon,osm_type,osm_id,osm_url,source_provider,source_url,raw_title,raw_date_text,scraped_at
kassir:krs:teatr:zoykina-kvartira-ekaterinburgskiy-tk,Зойкина квартира (Екатеринбургский ТК),theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-02T00:00:00+07:00,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/zoykina-kvartira-ekaterinburgskiy-tk,Зойкина квартира (Екатеринбургский ТК),"1 , 2 июня",2026-04-23T08:07:39Z
kassir:krs:teatr:granatovyiy-braslet-5,Гранатовый браслет,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/granatovyiy-braslet-5,Гранатовый браслет,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:bogema,Богема,theatre,theatre,Красноярский государственный театр оперы и балета,2026-04-28T19:00:00+07:00,2026-04-28T21:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/bogema,Богема,28 апреля 19:00 вт,2026-04-23T08:07:39Z
kassir:krs:teatr:prodavets-dojdya-4,Продавец дождя,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-18T19:00:00+07:00,2026-05-18T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/prodavets-dojdya-4,Продавец дождя,18 мая 19:00 пн,2026-04-23T08:07:39Z
kassir:krs:teatr:pushkin,Пушкин,theatre,theatre,Красноярский государственный театр оперы и балета,,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/pushkin,Пушкин,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:anna-v-tropikah,Анна в тропиках,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-23T18:00:00+07:00,2026-05-23T20:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/anna-v-tropikah,Анна в тропиках,23 мая 18:00 сб,2026-04-23T08:07:39Z
kassir:krs:teatr:kodjinskie-perepalki-2,Кьоджинские перепалки,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/kodjinskie-perepalki-2,Кьоджинские перепалки,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:macheha-samanishvili-1_2026-06-06,Мачеха Саманишвили,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-06T19:00:00+07:00,2026-06-06T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/teatr-imeni-as-pushkina/macheha-samanishvili-1_2026-06-06,Мачеха Саманишвили,6 июня 19:00 сб,2026-04-23T08:07:39Z
kassir:krs:teatr:maksim-averin,Максим Аверин,theatre,theatre,Красноярская краевая филармония,2026-09-29T19:00:00+07:00,2026-09-29T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/teatr/maksim-averin,Максим Аверин,29 сентября 19:00 вт,2026-04-23T08:07:39Z
kassir:krs:teatr:teve-molochnik_2026-06-04,Тевье-молочник,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-04T19:00:00+07:00,2026-06-04T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/teatr-imeni-as-pushkina/teve-molochnik_2026-06-04,Тевье-молочник,4 июня 19:00 чт,2026-04-23T08:07:39Z
